time,wiatr
2026-05-18T21:00,2.35
2026-05-18T22:00,2.4
2026-05-18T23:00,2.56
2026-05-19T00:00,2.6
2026-05-19T01:00,2.64
2026-05-19T02:00,2.55
2026-05-19T03:00,2.51
2026-05-19T04:00,2.42
2026-05-19T05:00,2.28
2026-05-19T06:00,2.19
2026-05-19T07:00,2.1
2026-05-19T08:00,1.97
2026-05-19T09:00,1.8
2026-05-19T10:00,1.7
2026-05-19T11:00,1.56
2026-05-19T12:00,1.41
2026-05-19T13:00,1.27
2026-05-19T14:00,1.0
2026-05-19T15:00,0.89
2026-05-19T16:00,0.81
2026-05-19T17:00,0.71
2026-05-19T18:00,0.76
2026-05-19T19:00,0.81
2026-05-19T20:00,0.78
2026-05-19T21:00,0.78
2026-05-19T22:00,0.78
2026-05-19T23:00,0.78
2026-05-20T00:00,0.78
2026-05-20T01:00,0.78
2026-05-20T02:00,0.86
2026-05-20T03:00,0.86
2026-05-20T04:00,0.86
2026-05-20T05:00,0.94
2026-05-20T06:00,1.0
2026-05-20T07:00,1.06
2026-05-20T08:00,1.13
2026-05-20T09:00,1.28
2026-05-20T10:00,1.36
2026-05-20T11:00,1.44
2026-05-20T12:00,1.53
2026-05-20T13:00,1.61
2026-05-20T14:00,1.61
2026-05-20T15:00,1.61
2026-05-20T16:00,1.61
2026-05-20T17:00,1.61
2026-05-20T18:00,1.61
2026-05-20T19:00,1.61
2026-05-20T20:00,1.61
2026-05-20T21:00,1.7
2026-05-20T22:00,1.7
2026-05-20T23:00,1.7
