time,wiatr
<<<<<<< HEAD
=======
2026-05-18T21:00,1.8
>>>>>>> 301eb397d7ed97a2c6a5ae04bc8fb680020c3c67
2026-05-18T22:00,1.7
2026-05-18T23:00,2.9
2026-05-19T00:00,2.5
2026-05-19T01:00,2.6
2026-05-19T02:00,2.9
2026-05-19T03:00,2.2
2026-05-19T04:00,1.9
2026-05-19T05:00,2.6
2026-05-19T06:00,2.3
2026-05-19T07:00,1.8
2026-05-19T08:00,1.4
2026-05-19T09:00,1.8
2026-05-19T10:00,2.1
2026-05-19T11:00,1.5
2026-05-19T12:00,1.3
2026-05-19T13:00,1.0
2026-05-19T14:00,0.9
2026-05-19T15:00,2.1
2026-05-19T16:00,1.5
2026-05-19T17:00,1.8
2026-05-19T18:00,2.1
2026-05-19T19:00,1.7
2026-05-19T20:00,2.1
2026-05-19T21:00,2.8
2026-05-19T22:00,1.9
2026-05-19T23:00,1.9
2026-05-20T00:00,2.0
2026-05-20T01:00,1.9
2026-05-20T02:00,1.4
2026-05-20T03:00,1.6
2026-05-20T04:00,1.6
2026-05-20T05:00,1.4
2026-05-20T06:00,2.0
2026-05-20T07:00,2.4
2026-05-20T08:00,2.3
2026-05-20T09:00,1.9
2026-05-20T10:00,0.7
2026-05-20T11:00,1.6
2026-05-20T12:00,2.3
2026-05-20T13:00,1.8
2026-05-20T14:00,2.0
2026-05-20T15:00,2.1
2026-05-20T16:00,2.4
2026-05-20T17:00,2.8
2026-05-20T18:00,1.7
2026-05-20T19:00,0.9
2026-05-20T20:00,0.9
2026-05-20T21:00,0.5
2026-05-20T22:00,0.8
2026-05-20T23:00,1.6
