time,temp
2026-05-18T21:00,13.2
2026-05-18T22:00,12.5
2026-05-18T23:00,12.1
2026-05-19T00:00,11.8
2026-05-19T01:00,11.6
2026-05-19T02:00,11.5
2026-05-19T03:00,11.3
2026-05-19T04:00,11.3
2026-05-19T05:00,11.4
2026-05-19T06:00,11.9
2026-05-19T07:00,13.0
2026-05-19T08:00,14.6
2026-05-19T09:00,15.9
2026-05-19T10:00,18.0
2026-05-19T11:00,18.7
2026-05-19T12:00,17.9
2026-05-19T13:00,17.5
2026-05-19T14:00,17.7
2026-05-19T15:00,18.4
2026-05-19T16:00,18.3
2026-05-19T17:00,17.5
2026-05-19T18:00,15.7
2026-05-19T19:00,14.4
2026-05-19T20:00,13.6
2026-05-19T21:00,13.0
2026-05-19T22:00,12.5
2026-05-19T23:00,12.0
2026-05-20T00:00,11.6
2026-05-20T01:00,11.3
2026-05-20T02:00,10.8
2026-05-20T03:00,10.6
2026-05-20T04:00,11.4
2026-05-20T05:00,12.9
2026-05-20T06:00,14.7
2026-05-20T07:00,16.5
2026-05-20T08:00,18.3
2026-05-20T09:00,19.7
2026-05-20T10:00,21.0
2026-05-20T11:00,21.8
2026-05-20T12:00,22.4
2026-05-20T13:00,22.9
2026-05-20T14:00,23.0
2026-05-20T15:00,22.0
2026-05-20T16:00,20.2
2026-05-20T17:00,20.0
2026-05-20T18:00,19.0
2026-05-20T19:00,17.0
2026-05-20T20:00,16.3
2026-05-20T21:00,15.7
2026-05-20T22:00,14.9
2026-05-20T23:00,14.3
