time,wiatr
2026-05-18T21:00,2.75
2026-05-18T22:00,2.92
2026-05-18T23:00,3.18
2026-05-19T00:00,3.4
2026-05-19T01:00,3.67
2026-05-19T02:00,4.03
2026-05-19T03:00,4.49
2026-05-19T04:00,4.83
2026-05-19T05:00,5.22
2026-05-19T06:00,5.4
2026-05-19T07:00,5.45
2026-05-19T08:00,5.52
2026-05-19T09:00,5.58
2026-05-19T10:00,5.61
2026-05-19T11:00,5.59
2026-05-19T12:00,5.55
2026-05-19T13:00,5.39
2026-05-19T14:00,5.13
2026-05-19T15:00,4.78
2026-05-19T16:00,4.46
2026-05-19T17:00,4.02
2026-05-19T18:00,3.76
2026-05-19T19:00,3.52
2026-05-19T20:00,3.35
2026-05-19T21:00,3.21
2026-05-19T22:00,3.1
2026-05-19T23:00,3.01
2026-05-20T00:00,3.04
2026-05-20T01:00,3.08
2026-05-20T02:00,3.16
2026-05-20T03:00,3.32
2026-05-20T04:00,3.49
2026-05-20T05:00,3.58
2026-05-20T06:00,3.76
2026-05-20T07:00,3.94
2026-05-20T08:00,4.13
2026-05-20T09:00,4.38
2026-05-20T10:00,4.58
2026-05-20T11:00,4.64
2026-05-20T12:00,4.7
2026-05-20T13:00,4.62
2026-05-20T14:00,4.47
2026-05-20T15:00,4.18
2026-05-20T16:00,3.89
2026-05-20T17:00,3.68
2026-05-20T18:00,3.47
2026-05-20T19:00,3.32
2026-05-20T20:00,3.18
2026-05-20T21:00,3.04
2026-05-20T22:00,2.97
2026-05-20T23:00,2.91
